-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.06237519437998389,1.5589122901326105,0.15019697735259796,-0.04929468384904521,1.4241583349464644,0.05259424355320614,-0.04663934854372592,1.392863352254268,-0.14696456085883786,-0.05502364828599225,1.097609930192107,-0.2101258198828291,0.01040154619191197,0.8449932402005808,-0.23299689697883902,-0.10719249903765744,1.3831867612903819,0.20305372572609579,-0.11442139064620675,1.094454507585399,0.24517210433463227,-0.03284632207439639,0.8610966035122412,0.2558551388624008,-0.07782588294126046,0.8913548943260917,0.028689746615409253,-0.05436669157044852,0.8294830055199265,-0.07501914807598457,-0.07708474993828043,0.40991147745520584,-0.10388260275010167,-0.13167246954198883,0.0409830124673775,-0.10648570169615854,-0.09997786513355712,0.8388461397362413,0.13502974614713387,-0.1118970694818549,0.4409376885592194,0.16107983504006745,-0.14556617612792483,0.07044291282091512,0.18667333968382693,0.017309213289668557,0.008850899736386314,0.26173068367222585,0.02906338255666155,-0.046497162400390694,-0.1534255044455549
0.06248319312650507,1.55879492243609,0.15019468455891086,-0.04948729627742991,1.4246241929560222,0.05234843661446095,-0.04828063777005436,1.393397615515417,-0.1470497454527326,-0.05402823146286601,1.097358012394289,-0.20997511792281603,0.011412807956863644,0.8449815625435784,-0.2333513247024299,-0.10629359824063678,1.383940050619317,0.2023656452684446,-0.10885285792275037,1.0948942040722522,0.24481212617229306,-0.024026061349815317,0.86169600343431,0.2512771289691387,-0.07665965040642898,0.891142174009197,0.028153630276862095,-0.054320498881037675,0.8290873480272979,-0.07497306317840856,-0.07897258789843188,0.4096761585606354,-0.10510141781226212,-0.13563541990907207,0.03937790390666801,-0.10914383610397761,-0.09752631413761713,0.8386181923264469,0.13379703650088426,-0.11145751236612639,0.4412591867824174,0.1608505961364924,-0.14427565241121856,0.07196523216067,0.18736529438045832,0.02134242577490234,0.010189199272122187,0.2622971673715286,0.027541338599758023,-0.046815188884891,-0.15481634632333316
0.06570486752430398,1.5576930292007682,0.1477149335467821,-0.04548698908497468,1.4259237669599816,0.05115768766141419,-0.048045795783693966,1.3947475413960915,-0.1483736554858428,-0.05782885097116676,1.0981352292043356,-0.2126531009790061,0.017067273098795993,0.8517050114913144,-0.23334692175599167,-0.098625339929026,1.386572535002427,0.2015664377056426,-0.10854243852071395,1.0989398752799449,0.24286880723882553,0.002659797413442558,0.870166886041324,0.20191879570354715,-0.07750716524282317,0.8915604344991565,0.022584015841267974,-0.06070022462343143,0.8281151317089707,-0.07853871011091856,-0.09167164542990791,0.40841289044134493,-0.10874635459921364,-0.14346646267240867,0.03819775056967015,-0.10919929970591462,-0.09449470940427607,0.8397347750758519,0.12478261243459245,-0.10696849281078336,0.4424615245364877,0.1555292971858695,-0.14237306074850453,0.07323044633455283,0.18713454944733654,0.0238029095758096,0.0113041904068002,0.2611999215867779,0.02239979311839194,-0.04736807076806485,-0.15620959303292872
0.08045207605845765,1.578305456235213,0.12257250170073437,-0.038785263503635065,1.4422524315171101,0.03366920664844626,-0.07046514984446178,1.4059807256285726,-0.1640242468332272,-0.11634579578802542,1.1081433524160524,-0.22299936131521653,-0.005048529763285834,0.8728357647215611,-0.2347672456346759,-0.06619370560870698,1.4071225707994321,0.1817753563543457,-0.08928624821388091,1.1173110455403865,0.21252750045063487,0.0455592897578434,0.9045890913763037,0.11179023085941034,-0.08700847595832102,0.9086642360669346,0.01089033906867486,-0.08398625318758458,0.8469304446686008,-0.08864959165774841,-0.08687266412315653,0.43258051438311174,-0.10210213013179903,-0.1367208913522903,0.044016458124197945,-0.10522770816866081,-0.094350485455921,0.8532915405049001,0.11194408773470424,-0.08450717839493949,0.4492273851728299,0.15293636043821926,-0.1361669115134006,0.06082761093844935,0.17676864322538804,0.03601471692096609,-0.01583998069890365,0.23321719180260672,0.0446972449956478,-0.03240287254439942,-0.15058442162495622
