frame,time,bone,true_deg,computed_deg,diff_deg,raw_deg,pre_clamp_deg,clamped_deg,filtered_deg,expected_proj_mag,current_proj_mag,ref_axis_angle_deg,degenerate,held_previous_raw,ref_to_bone_forward_deg,ref_to_bone_up_deg,ref_to_bone_right_deg,axis_x,axis_y,axis_z,ref_x,ref_y,ref_z
3,0.1000,R_LowerArm,-5.22,-52.93,-47.70,-55.49,-55.49,-55.49,-52.93,0.9989,0.9921,97.20,N,N,96.50,89.06,173.43,0.69641,-0.34863,0.62728,0.62457,0.35844,-0.69386
3,0.1000,L_UpperLeg,11.23,0.00,-11.23,0.00,0.00,0.00,0.00,0.0972,0.6451,139.83,Y,N,27.33,116.94,85.74,0.11109,-0.78522,0.60918,0.00505,0.99944,0.03296
3,0.1000,L_LowerLeg,-3.16,0.00,3.16,0.00,0.00,0.00,0.00,0.1203,0.3433,159.92,Y,N,27.33,116.94,85.74,-0.12819,-0.94863,0.28924,0.00505,0.99944,0.03296
3,0.1000,R_UpperLeg,-2.68,0.00,2.68,0.00,0.00,0.00,0.00,0.0956,0.3512,159.44,Y,N,22.98,112.98,89.74,0.27171,-0.93005,-0.24735,0.00505,0.99944,0.03296
3,0.1000,R_LowerLeg,-2.77,0.00,2.77,0.00,0.00,0.00,0.00,0.1152,0.3613,158.82,Y,N,22.98,112.98,89.74,0.17891,-0.92261,-0.34173,0.00505,0.99944,0.03296
4,0.1333,L_UpperArm,-0.50,-70.00,-69.50,-33.97,-86.44,-70.00,-70.00,0.9987,0.8059,126.31,N,N,83.53,91.03,173.45,-0.47524,-0.74073,0.47482,0.63829,-0.09949,-0.76334
4,0.1333,L_LowerArm,19.67,52.47,32.80,58.44,58.44,58.44,52.47,0.9987,0.9935,96.53,N,N,83.53,91.03,173.45,0.67065,-0.14157,0.72814,0.63829,-0.09949,-0.76334
4,0.1333,R_UpperArm,16.89,43.50,26.61,-8.23,48.71,48.71,43.50,0.9988,0.9659,75.00,N,N,96.50,89.06,173.43,0.24538,-0.83909,-0.48550,0.72546,0.26998,-0.63311
4,0.1333,R_LowerArm,-6.02,-56.94,-50.92,-61.46,-61.46,-61.46,-56.94,0.9989,0.9891,98.46,N,N,96.50,89.06,173.43,0.57244,-0.25809,0.77827,0.72546,0.26998,-0.63311
4,0.1333,L_UpperLeg,11.40,0.00,-11.40,0.00,0.00,0.00,0.00,0.0972,0.6528,139.24,Y,N,22.63,112.41,87.00,0.10580,-0.77499,0.62306,0.01455,0.99958,0.02509
4,0.1333,L_LowerLeg,1.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.1203,0.2842,163.49,Y,N,22.63,112.41,87.00,-0.12808,-0.96322,0.23622,0.01455,0.99958,0.02509
4,0.1333,R_UpperLeg,-2.32,0.00,2.32,0.00,0.00,0.00,0.00,0.0956,0.3641,158.65,Y,N,23.81,113.80,89.22,0.24054,-0.92813,-0.28411,0.01455,0.99958,0.02509
4,0.1333,R_LowerLeg,-4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.1152,0.3856,157.32,Y,N,23.81,113.80,89.22,0.19706,-0.91724,-0.34619,0.01455,0.99958,0.02509
5,0.1667,L_UpperArm,3.38,-70.00,-73.38,-22.01,-83.79,-70.00,-70.00,0.9987,0.7575,130.76,N,N,83.53,91.03,173.45,-0.55039,-0.69974,0.45546,0.78063,-0.08415,-0.61930
5,0.1667,L_LowerArm,23.46,61.78,38.32,65.93,65.93,65.93,61.78,0.9987,0.9911,97.66,N,N,83.53,91.03,173.45,0.49816,-0.11716,0.85913,0.78063,-0.08415,-0.61930
5,0.1667,R_UpperArm,15.68,48.93,33.25,-11.56,54.39,54.39,48.93,0.9988,0.9367,69.51,N,N,96.50,89.06,173.43,0.31927,-0.88175,-0.34726,0.79357,0.12492,-0.59552
5,0.1667,R_LowerArm,-9.03,-65.95,-56.92,-71.69,-71.69,-71.69,-65.95,0.9989,0.9773,102.23,N,N,96.50,89.06,173.43,0.42647,-0.16475,0.88937,0.79357,0.12492,-0.59552
5,0.1667,L_UpperLeg,11.94,0.00,-11.94,0.00,0.00,0.00,0.00,0.0972,0.6489,139.54,Y,N,21.23,111.23,89.87,0.08523,-0.77372,0.62777,0.02486,0.99955,0.01655
