frame,time,bone,true_deg,computed_deg,diff_deg,sign_match
12,0.4000,L_UpperLeg,-12.53,0.00,12.53,Y
12,0.4000,L_LowerLeg,-0.38,0.00,0.38,Y
12,0.4000,R_UpperLeg,-6.85,0.00,6.85,Y
12,0.4000,R_LowerLeg,-0.21,0.00,0.21,Y
13,0.4333,L_UpperArm,-10.19,-16.04,-5.85,Y
13,0.4333,L_LowerArm,20.80,31.64,10.83,Y
13,0.4333,R_UpperArm,-23.60,-44.26,-20.66,Y
13,0.4333,R_LowerArm,-14.24,72.21,86.44,N
13,0.4333,L_UpperLeg,-15.62,0.00,15.62,Y
13,0.4333,L_LowerLeg,-3.53,0.00,3.53,Y
13,0.4333,R_UpperLeg,-10.26,0.00,10.26,Y
13,0.4333,R_LowerLeg,1.72,0.00,-1.72,Y
14,0.4667,L_UpperArm,-15.09,-17.08,-1.99,Y
14,0.4667,L_LowerArm,21.17,35.03,13.86,Y
14,0.4667,R_UpperArm,-24.40,-65.12,-40.72,Y
14,0.4667,R_LowerArm,-14.06,76.00,90.07,N
14,0.4667,L_UpperLeg,-18.72,0.00,18.72,Y
14,0.4667,L_LowerLeg,-6.84,0.00,6.84,Y
14,0.4667,R_UpperLeg,-11.19,0.00,11.19,Y
14,0.4667,R_LowerLeg,0.67,0.00,-0.67,Y
15,0.5000,L_UpperArm,-26.94,-20.54,6.40,Y
15,0.5000,L_LowerArm,14.30,35.36,21.06,Y
15,0.5000,R_UpperArm,-20.77,-29.68,-8.92,Y
15,0.5000,R_LowerArm,-11.44,35.77,47.21,N
15,0.5000,L_UpperLeg,-21.92,0.00,21.92,Y
15,0.5000,L_LowerLeg,-10.86,0.00,10.86,Y
15,0.5000,R_UpperLeg,-12.15,0.00,12.15,Y
15,0.5000,R_LowerLeg,0.79,0.00,-0.79,Y
16,0.5333,L_UpperArm,-35.78,-23.05,12.73,Y
16,0.5333,L_LowerArm,4.61,32.88,28.28,Y
16,0.5333,R_UpperArm,-9.69,37.73,47.42,N
16,0.5333,R_LowerArm,-3.60,16.42,20.02,Y
16,0.5333,L_UpperLeg,-25.16,0.00,25.16,Y
16,0.5333,L_LowerLeg,-15.28,0.00,15.28,Y
16,0.5333,R_UpperLeg,-12.51,0.00,12.51,Y
16,0.5333,R_LowerLeg,-0.14,0.00,0.14,Y
17,0.5667,L_UpperArm,-39.40,-32.03,7.37,Y
17,0.5667,L_LowerArm,-2.81,31.65,34.46,Y
17,0.5667,R_UpperArm,-0.95,-34.76,-33.81,Y
17,0.5667,R_LowerArm,4.28,-9.52,-13.80,Y
17,0.5667,L_UpperLeg,-26.88,0.00,26.88,Y
17,0.5667,L_LowerLeg,-18.80,0.00,18.80,Y
17,0.5667,R_UpperLeg,-15.75,0.00,15.75,Y
17,0.5667,R_LowerLeg,-3.60,0.00,3.60,Y
18,0.6000,L_UpperArm,-43.20,-45.67,-2.47,Y
18,0.6000,L_LowerArm,-11.80,33.08,44.89,N
18,0.6000,R_UpperArm,1.18,-60.91,-62.09,Y
18,0.6000,R_LowerArm,10.16,-24.94,-35.10,N
18,0.6000,L_UpperLeg,-25.34,0.00,25.34,Y
18,0.6000,L_LowerLeg,-20.16,0.00,20.16,Y
18,0.6000,R_UpperLeg,-15.78,0.00,15.78,Y
